Entity,Code,Year,Fossil fuels (TWh)
Germany,DEU,1981,3856.635498046875
Germany,DEU,1982,3687.19873046875
Germany,DEU,1983,3736.758544921875
Germany,DEU,1984,3811.1025390625
Germany,DEU,1985,3840.231201171875
Germany,DEU,1986,3824.39794921875
Germany,DEU,1987,3824.256103515625
Germany,DEU,1988,3796.15966796875
Germany,DEU,1989,3741.83837890625
Germany,DEU,1990,3703.8671875
Germany,DEU,1991,3620.40283203125
Germany,DEU,1992,3497.780029296875
Germany,DEU,1993,3492.76025390625
Germany,DEU,1994,3456.3515625
Germany,DEU,1995,3462.4423828125
Germany,DEU,1996,3578.189697265625
Germany,DEU,1997,3496.77880859375
Germany,DEU,1998,3481.87939453125
Germany,DEU,1999,3392.8798828125
Germany,DEU,2000,3391.7763671875
Germany,DEU,2001,3460.38134765625
Germany,DEU,2002,3408.056396484375
Germany,DEU,2003,3405.056640625
Germany,DEU,2004,3366.810546875
Germany,DEU,2005,3308.25537109375
Germany,DEU,2006,3360.6171875
Germany,DEU,2007,3214.107421875
Germany,DEU,2008,3225.8837890625
Germany,DEU,2009,3018.43212890625
Germany,DEU,2010,3134.52880859375
Germany,DEU,2011,3032.669189453125
Germany,DEU,2012,3052.56396484375
Germany,DEU,2013,3147.404541015625
Germany,DEU,2014,2963.1630859375
Germany,DEU,2015,2981.13427734375
Germany,DEU,2016,3062.10107421875
Germany,DEU,2017,3065.357421875
Germany,DEU,2018,2951.8798828125
Germany,DEU,2019,2811.78466796875
Germany,DEU,2020,2545.103271484375
Germany,DEU,2021,2655.21826171875
Greece,GRC,1965,76.77763366699219
Greece,GRC,1966,81.53446960449219
Greece,GRC,1967,90.48912811279297
Greece,GRC,1968,95.09315490722656
Greece,GRC,1969,98.64524841308594
Greece,GRC,1970,108.56805419921875
Greece,GRC,1971,130.790771484375
Greece,GRC,1972,147.60061645507812
Greece,GRC,1973,172.3602294921875
Greece,GRC,1974,167.99795532226562
Greece,GRC,1975,192.33132934570312
Greece,GRC,1976,213.51766967773438
Greece,GRC,1977,221.5067901611328
Greece,GRC,1978,222.34713745117188
Greece,GRC,1979,192.49188232421875
Greece,GRC,1980,191.03921508789062
Greece,GRC,1981,186.44320678710938
Greece,GRC,1982,188.6533203125
Greece,GRC,1983,193.37940979003906
Greece,GRC,1984,200.6747283935547
Greece,GRC,1985,212.6161651611328
Greece,GRC,1986,211.81422424316406
Greece,GRC,1987,233.8568878173828
Greece,GRC,1988,248.6013641357422
Greece,GRC,1989,271.448486328125
Greece,GRC,1990,282.07562255859375
Greece,GRC,1991,282.31268310546875
Greece,GRC,1992,290.0773010253906
Greece,GRC,1993,293.6408386230469
Greece,GRC,1994,297.8455810546875
Greece,GRC,1995,306.2550964355469
Greece,GRC,1996,311.83123779296875
Greece,GRC,1997,322.458251953125
Greece,GRC,1998,343.5747985839844
Greece,GRC,1999,340.6441345214844
Greece,GRC,2000,360.79833984375
Greece,GRC,2001,367.3915100097656
Greece,GRC,2002,365.89544677734375
Greece,GRC,2003,381.1978454589844
Greece,GRC,2004,381.1408386230469
Greece,GRC,2005,381.2219543457031
Greece,GRC,2006,388.8902587890625
Greece,GRC,2007,405.32470703125
Greece,GRC,2008,390.06756591796875
Greece,GRC,2009,368.84844970703125
Greece,GRC,2010,343.52032470703125
Greece,GRC,2011,342.417236328125
Greece,GRC,2012,315.2585144042969
Greece,GRC,2013,283.3297119140625
Greece,GRC,2014,269.8937072753906
Greece,GRC,2015,266.353515625
Greece,GRC,2016,260.5870666503906
Greece,GRC,2017,224.39437866210938
Greece,GRC,2018,273.9536437988281
Greece,GRC,2019,266.1958923339844
Greece,GRC,2020,228.18069458007812
Greece,GRC,2021,233.548583984375
High-income countries,,1965,28374.73046875
High-income countries,,1966,29713.3984375
High-income countries,,1967,30931.203125
High-income countries,,1968,33035.97265625
High-income countries,,1969,35224.10546875
High-income countries,,1970,37208.078125
High-income countries,,1971,38106.69140625
High-income countries,,1972,39969.1328125
High-income countries,,1973,42273.45703125
High-income countries,,1974,41205.40625
High-income countries,,1975,39890.16015625
High-income countries,,1976,42252.03125
High-income countries,,1977,43073.328125
High-income countries,,1978,44094.09375
High-income countries,,1979,45340.703125
High-income countries,,1980,43788.9609375
High-income countries,,1981,42406.46875
High-income countries,,1982,40776.3359375
High-income countries,,1983,40525.2890625
High-income countries,,1984,42273.3359375
High-income countries,,1985,42829.8046875
High-income countries,,1986,43311.3046875
High-income countries,,1987,44436.19140625
High-income countries,,1988,45986.45703125
High-income countries,,1989,46878.10546875
High-income countries,,1990,46965.9375
High-income countries,,1991,47150.109375
High-income countries,,1992,47736.0859375
High-income countries,,1993,48224
High-income countries,,1994,49336.640625
High-income countries,,1995,50482.1640625
High-income countries,,1996,52168.46875
High-income countries,,1997,52813.234375
High-income countries,,1998,53056.84375
High-income countries,,1999,53829.8515625
High-income countries,,2000,54933.51953125
High-income countries,,2001,54968.45703125
High-income countries,,2002,55500.33203125
High-income countries,,2003,56522.1953125
